id,name,price,description
561,Suzuki,731.13,Cross-platform national framework
562,Mercedes-Benz,4993.12,Polarised multi-state matrix
563,Chevrolet,7999.55,Ameliorated multimedia installation
564,Toyota,472.75,Profit-focused context-sensitive parallelism
565,Saab,7641.55,Versatile multimedia local area network
566,Saturn,1874.46,De-engineered eco-centric service-desk
567,Mazda,2939.07,Balanced foreground solution
568,Volkswagen,9238.61,Universal neutral definition
569,Smart,412.03,Synergistic executive projection
570,Volkswagen,3608.74,Multi-channelled regional initiative
571,Dodge,5059.38,Devolved homogeneous system engine
572,Ford,8049.79,Balanced hybrid service-desk
573,Land Rover,104.33,Business-focused 24 hour intranet
574,Dodge,568.6,Intuitive 24/7 toolset
575,Ford,7758.23,Compatible motivating budgetary management
576,BMW,8297.32,Managed hybrid groupware
577,BMW,6834.91,Stand-alone content-based archive
578,Kia,3152.46,Automated national paradigm
579,Honda,3095.39,Optimized upward-trending help-desk
580,Aston Martin,3455.34,Mandatory cohesive architecture
581,Hyundai,2054.31,Vision-oriented contextually-based hardware
582,Ford,1210.6,Face to face global capability
583,Subaru,3429.32,Multi-channelled secondary utilisation
584,MINI,7546.19,Multi-lateral didactic task-force
585,Ford,3760.71,Customizable tertiary pricing structure
586,Dodge,163.21,Robust value-added moratorium
587,Volkswagen,5035.88,Distributed demand-driven conglomeration
588,Cadillac,7422.12,Programmable cohesive hierarchy
589,Lexus,6612.82,Visionary scalable capacity
590,Chevrolet,9287.03,Grass-roots system-worthy moratorium
591,Lexus,716.48,Managed demand-driven projection
592,Ford,4309.02,Open-source logistical toolset
593,Volvo,111.18,Configurable contextually-based firmware
594,BMW,9449.29,Cross-group incremental encoding
595,Chevrolet,8491.07,Automated contextually-based software
596,Toyota,1911.55,Enterprise-wide dedicated initiative
597,Ford,4218.17,Diverse context-sensitive hardware
598,Honda,4567.42,Realigned national methodology
599,Chevrolet,1830.92,Down-sized upward-trending customer loyalty
600,Chevrolet,3342.48,Reduced solution-oriented project
601,Buick,2360.05,Synchronised needs-based parallelism
602,GMC,6726.16,Enterprise-wide systematic standardization
603,Nissan,9074.95,Streamlined upward-trending parallelism
604,Mitsubishi,1706.84,Object-based content-based analyzer
605,BMW,2749.66,Horizontal non-volatile budgetary management
606,Subaru,7931.11,Reactive bottom-line emulation
607,Chevrolet,1378.81,Secured uniform neural-net
608,Cadillac,6670.76,Team-oriented attitude-oriented neural-net
609,Chevrolet,7687.12,Pre-emptive tertiary matrix
610,BMW,3220.11,Enhanced bandwidth-monitored matrices
611,Mercury,6505.55,Organic full-range standardization
612,Buick,5806.49,Re-contextualized logistical framework
613,Chevrolet,1200.39,Persistent composite knowledge user
614,Chevrolet,8751.14,Centralized local interface
615,Lexus,7294.85,Secured foreground function
616,Chevrolet,3755.39,Cloned next generation core
617,Volvo,8496.6,Networked high-level groupware
618,Pontiac,4549.35,Exclusive transitional monitoring
619,Honda,2217.0,Managed mobile pricing structure
620,Ford,9046.63,Compatible human-resource functionalities
621,Jaguar,8479.08,Re-engineered background solution
622,Audi,9334.78,Streamlined asymmetric paradigm
623,GMC,4495.95,Re-engineered local attitude
624,Chevrolet,4424.64,Fully-configurable didactic moratorium
625,Mercedes-Benz,7969.65,Switchable transitional productivity
626,Porsche,251.25,Realigned scalable hardware
627,Lexus,9486.92,Customer-focused stable architecture
628,Acura,5594.51,Programmable dedicated info-mediaries
629,BMW,4278.69,Streamlined hybrid success
630,Pontiac,1215.95,Versatile reciprocal flexibility
631,Mercury,2667.84,Customizable actuating ability
632,Chevrolet,1784.74,Re-engineered eco-centric customer loyalty
633,Dodge,8454.27,Profit-focused zero administration neural-net
634,Chevrolet,4142.15,Implemented 4th generation toolset
635,Chevrolet,8204.89,Synergistic non-volatile monitoring
636,Chevrolet,8994.88,Extended explicit infrastructure
637,Buick,9800.82,Vision-oriented radical definition
638,Acura,6767.57,Synergized fresh-thinking moderator
639,Audi,2854.61,Customizable methodical protocol
640,Infiniti,2042.22,Secured holistic model
641,Mazda,6389.31,Synergized mission-critical toolset
642,Chevrolet,7785.97,Pre-emptive 6th generation internet solution
643,Acura,7211.43,Object-based leading edge orchestration
644,Oldsmobile,8615.01,Organized multi-state policy
645,Mercury,648.44,Intuitive upward-trending adapter
646,Cadillac,5010.17,Integrated fault-tolerant collaboration
647,Cadillac,1623.54,Object-based 24/7 info-mediaries
648,Lexus,7577.28,Multi-lateral holistic forecast
649,Mercedes-Benz,1402.38,Reverse-engineered bottom-line middleware
650,Jeep,3487.43,Virtual zero tolerance capability
651,Toyota,1177.42,Down-sized incremental flexibility
652,GMC,598.8,Automated executive infrastructure
653,Chevrolet,4637.82,Configurable zero defect initiative
654,Ford,2340.63,De-engineered 3rd generation emulation
655,Chevrolet,7681.57,Triple-buffered systemic flexibility
656,Volvo,7457.23,Cloned optimal project
657,Nissan,2710.08,Streamlined context-sensitive concept
658,Infiniti,6060.01,Balanced client-server framework
659,Volkswagen,9178.98,Assimilated system-worthy open architecture
660,BMW,6814.44,Cross-platform global projection
661,Volvo,9864.26,Polarised global framework
662,Mitsubishi,9586.88,Sharable fresh-thinking utilisation
663,Mitsubishi,6327.19,Robust modular system engine
664,Chevrolet,8809.43,Reactive encompassing help-desk
665,Chevrolet,6567.59,Compatible 4th generation time-frame
666,Lincoln,8559.48,Proactive demand-driven synergy
667,Chevrolet,548.8,Intuitive attitude-oriented emulation
668,Pontiac,8999.66,Re-contextualized user-facing application
669,Acura,2051.39,Networked asymmetric process improvement
670,Chevrolet,2230.4,Decentralized discrete productivity
671,Pontiac,947.04,Inverse real-time implementation
672,Chrysler,4106.59,Proactive 5th generation encoding
673,Lexus,7754.61,Compatible non-volatile paradigm
674,Land Rover,3743.46,Virtual contextually-based implementation
675,Saab,7885.32,Re-contextualized logistical collaboration
676,GMC,2733.38,Robust next generation superstructure
677,Toyota,4429.59,Versatile impactful synergy
678,Acura,3847.19,Distributed static extranet
679,Mercury,3961.59,Persevering asymmetric structure
680,Hyundai,5786.22,Up-sized scalable benchmark
681,Mazda,8419.29,Persistent leading edge middleware
682,Kia,4794.21,Universal user-facing process improvement
683,Pontiac,896.2,Integrated intermediate hardware
684,Jaguar,8211.27,User-friendly cohesive leverage
685,Volkswagen,9535.27,Organic responsive forecast
686,Ford,2063.91,Decentralized didactic structure
687,Cadillac,3251.79,Optimized interactive capability
688,Toyota,338.52,Ergonomic zero tolerance capability
689,BMW,3934.29,Re-contextualized system-worthy model
690,Subaru,6705.41,Networked scalable product
691,Acura,1184.45,Team-oriented homogeneous flexibility
692,Chevrolet,3832.32,Optional cohesive approach
693,Mazda,3735.86,User-friendly holistic workforce
694,Dodge,1690.55,Polarised dynamic Graphic Interface
695,Ford,9536.7,Total regional protocol
696,Mercedes-Benz,1987.61,Phased uniform interface
697,Mercedes-Benz,7936.58,Future-proofed value-added superstructure
698,Lexus,7528.76,Monitored multi-tasking policy
699,Ford,8194.59,Up-sized composite benchmark
700,Dodge,3100.52,Grass-roots human-resource synergy
701,Buick,4243.54,Self-enabling optimal synergy
702,Jaguar,7808.08,Multi-tiered cohesive core
703,Mitsubishi,5085.27,Public-key 3rd generation leverage
704,Mazda,9293.41,Multi-layered explicit service-desk
705,Isuzu,9170.37,Extended well-modulated support
706,Ford,4640.95,Face to face local strategy
707,Lexus,586.57,Progressive heuristic customer loyalty
708,Infiniti,8279.91,Centralized background contingency
709,Mazda,7881.42,Profit-focused 6th generation firmware
710,Toyota,2443.38,De-engineered directional methodology
711,Chrysler,9016.96,Polarised 24 hour contingency
712,BMW,3500.24,Front-line mobile challenge
713,Suzuki,3069.23,Front-line static architecture
714,Lexus,2201.26,Digitized homogeneous structure
715,Ford,1372.25,Organic human-resource flexibility
716,Nissan,3065.99,Open-source heuristic secured line
717,Pontiac,6690.79,Organized multimedia strategy
718,Geo,5597.02,Balanced mission-critical installation
719,Kia,7749.89,Phased hybrid info-mediaries
720,Mazda,958.56,Innovative foreground architecture
721,Dodge,8901.97,Configurable explicit flexibility
722,Lexus,3047.75,Multi-tiered reciprocal framework
723,Geo,6628.37,Proactive user-facing matrices
724,Volkswagen,3777.84,Profound attitude-oriented database
725,Volkswagen,9382.27,Face to face 3rd generation service-desk
726,Acura,372.72,User-friendly directional data-warehouse
727,Nissan,4934.28,Self-enabling context-sensitive collaboration
728,Mazda,2087.75,Persistent zero tolerance parallelism
729,Mitsubishi,8902.25,Fully-configurable dynamic definition
730,Toyota,870.93,Pre-emptive uniform focus group
731,Honda,9642.55,Enterprise-wide uniform forecast
732,Suzuki,8099.16,Self-enabling dedicated groupware
733,Honda,2001.86,Intuitive radical pricing structure
734,Dodge,4295.22,Organized exuding protocol
735,Lamborghini,7548.91,Versatile bandwidth-monitored project
736,Infiniti,2869.29,Proactive non-volatile extranet
737,GMC,9950.72,Quality-focused explicit instruction set
738,Audi,261.84,Synchronised zero defect workforce
739,Mitsubishi,5595.2,Cross-platform 3rd generation model
740,Volkswagen,4570.68,Visionary stable budgetary management
741,Maserati,5533.04,Networked high-level success
742,Buick,9367.18,Universal web-enabled paradigm
743,GMC,2727.75,Programmable real-time core
744,Chevrolet,538.84,Seamless mobile artificial intelligence
745,Jaguar,3489.51,Reduced high-level approach
746,Chrysler,8979.96,Enhanced bandwidth-monitored intranet
747,Jeep,1531.54,Horizontal responsive firmware
748,Daewoo,8890.83,Balanced object-oriented function
749,Mercedes-Benz,2115.51,Sharable regional intranet
750,Pontiac,1396.38,Inverse client-driven complexity
751,Jeep,9677.24,Exclusive tertiary emulation
752,Jaguar,9903.5,Synergistic grid-enabled moratorium
753,Kia,4221.59,Managed directional info-mediaries
754,Chevrolet,5644.53,Cloned value-added utilisation
755,Dodge,5865.93,Face to face interactive database
756,Aston Martin,5610.13,Expanded attitude-oriented alliance
757,Honda,2670.83,De-engineered holistic customer loyalty
758,Nissan,5769.65,Profound discrete database
759,Chevrolet,5997.75,Open-source local structure
760,Hyundai,2427.78,Exclusive explicit conglomeration
761,Chevrolet,9412.94,Persevering dynamic open system
762,Volkswagen,4530.2,Distributed systematic moderator
763,Chrysler,7571.69,Upgradable analyzing Graphic Interface
764,Mazda,4399.26,Virtual full-range throughput
765,Toyota,4621.35,Sharable multi-state data-warehouse
766,BMW,9192.99,Open-architected actuating infrastructure
767,Bentley,9739.27,Quality-focused context-sensitive matrix
768,BMW,1112.63,Centralized analyzing moderator
769,Mercedes-Benz,5901.45,Reduced dynamic success
770,Buick,961.5,Cross-group secondary service-desk
771,Ford,7739.17,Re-contextualized zero administration adapter
772,Honda,2395.65,Implemented well-modulated benchmark
773,GMC,4657.07,Optional composite hardware
774,Audi,3620.9,Cross-group global monitoring
775,Subaru,724.74,Total systematic emulation
776,Audi,1670.64,Cloned upward-trending product
777,Mercedes-Benz,5345.43,Quality-focused radical array
778,Nissan,4226.63,Vision-oriented bi-directional structure
779,Porsche,3399.94,Fully-configurable secondary time-frame
780,Dodge,1141.67,Mandatory tangible architecture
781,Buick,4709.69,Multi-lateral content-based orchestration
782,Pontiac,6592.44,Programmable asymmetric adapter
783,Pontiac,9360.55,Function-based static framework
784,Scion,6346.65,Down-sized solution-oriented support
785,Cadillac,785.6,Self-enabling systematic synergy
786,Chrysler,8926.36,Adaptive explicit support
787,Buick,1484.76,Progressive zero tolerance artificial intelligence
788,BMW,3262.62,Ameliorated mission-critical service-desk
789,Isuzu,2969.81,Robust 4th generation implementation
790,Land Rover,7916.76,Automated responsive intranet
791,Volkswagen,7867.91,Devolved optimizing function
792,Porsche,6721.92,Reverse-engineered high-level capability
793,Infiniti,7256.79,Focused static internet solution
794,Ford,3103.6,Universal local conglomeration
795,Cadillac,3647.16,Object-based systemic structure
796,Toyota,8014.66,Cross-group methodical infrastructure
797,Ford,5318.62,Distributed context-sensitive database
798,MINI,183.71,Managed zero tolerance software
799,GMC,2640.95,Mandatory leading edge orchestration
800,BMW,7951.37,Open-source systemic customer loyalty
801,Infiniti,1645.38,Advanced asynchronous conglomeration
802,Jaguar,6893.82,User-friendly optimal local area network
803,Lincoln,7008.6,Quality-focused upward-trending instruction set
804,GMC,1523.06,Team-oriented background matrix
805,Acura,908.38,Reduced optimizing product
806,Chevrolet,7223.71,Innovative clear-thinking extranet
807,Ford,7621.15,Digitized multi-tasking matrix
808,Honda,6512.12,Optimized multimedia collaboration
809,Mercedes-Benz,3635.69,Integrated contextually-based Graphical User Interface
810,GMC,9144.04,Configurable interactive architecture
811,Honda,7541.01,Enterprise-wide clear-thinking Graphical User Interface
812,Mazda,1235.7,Streamlined encompassing portal
813,Mazda,7874.26,Quality-focused 24 hour collaboration
814,Buick,3363.66,Programmable dedicated hardware
815,Audi,6553.35,Open-architected transitional policy
816,Cadillac,4920.9,Face to face disintermediate throughput
817,Ford,5112.22,Assimilated local database
818,Nissan,4204.71,Implemented client-server access
819,Buick,6196.29,Secured heuristic middleware
820,Lexus,4410.67,Total leading edge productivity
821,Mazda,1886.57,Profit-focused non-volatile attitude
822,Acura,5832.21,Managed secondary emulation
823,Mitsubishi,4449.52,Reactive bottom-line policy
824,Ford,6176.03,Sharable needs-based attitude
825,Lincoln,2291.61,Ergonomic mission-critical intranet
826,Volvo,7317.55,Optimized fault-tolerant secured line
827,Jaguar,5199.12,Business-focused impactful matrices
828,Mitsubishi,6205.3,Stand-alone motivating implementation
829,Hyundai,5450.01,Integrated 24 hour moderator
830,Chevrolet,1378.79,Cross-platform systematic data-warehouse
831,Dodge,8907.14,Progressive even-keeled standardization
832,BMW,3551.27,Stand-alone methodical interface
833,Kia,6954.02,Object-based stable analyzer
834,Isuzu,5134.53,Distributed bandwidth-monitored moratorium
835,Acura,6850.71,Diverse even-keeled budgetary management
836,Nissan,5563.03,Reactive coherent challenge
837,BMW,5827.8,Persistent 24/7 local area network
838,Bentley,5934.28,Mandatory foreground capability
839,Pontiac,7355.25,Optional tangible help-desk
840,Chevrolet,5653.84,Polarised solution-oriented firmware
841,Audi,833.79,Persevering grid-enabled workforce
842,Kia,5389.84,Synchronised directional concept
843,Toyota,5136.93,Multi-tiered analyzing website
844,Ford,3419.27,Organic 3rd generation productivity
845,Jeep,4734.83,Implemented bi-directional function
846,Infiniti,4070.1,Cross-group upward-trending intranet
847,Mercedes-Benz,9879.18,Reduced multi-tasking monitoring
848,Plymouth,1255.21,Monitored high-level structure
849,Mazda,9724.67,Persevering global matrix
850,Audi,5770.84,Quality-focused actuating hardware
851,Chevrolet,8686.18,Open-architected actuating matrix
852,Hummer,462.06,Ameliorated 3rd generation support
853,Chevrolet,2444.48,Versatile neutral emulation
854,Spyker,3087.25,Mandatory impactful emulation
855,Mercury,8622.04,Re-contextualized incremental array
856,Toyota,9860.89,Optimized 6th generation leverage
857,Ford,7846.61,Open-architected systematic firmware
858,Dodge,3120.86,Cloned exuding workforce
859,Lincoln,4867.18,Persevering clear-thinking encoding
860,Saab,2597.56,Multi-channelled client-server firmware
861,BMW,9386.14,User-centric global process improvement
862,Ford,1593.26,Object-based incremental adapter
863,GMC,6305.78,Switchable system-worthy throughput
864,Plymouth,8700.5,Re-contextualized bandwidth-monitored circuit
865,Isuzu,3153.23,Down-sized dynamic support
866,Mitsubishi,2180.88,Re-contextualized mobile protocol
867,Kia,4478.72,Polarised upward-trending initiative
868,Chrysler,4814.07,Virtual value-added local area network
869,Mazda,9353.07,Advanced modular matrix
870,Chevrolet,5133.57,Ergonomic fresh-thinking protocol
871,Cadillac,9805.88,Devolved client-server solution
872,Saab,176.78,User-friendly intermediate software
873,Ford,1380.29,Up-sized heuristic leverage
874,Dodge,7719.85,Multi-layered eco-centric local area network
875,Mitsubishi,3579.14,Upgradable 5th generation array
876,Jeep,3631.0,Synergized eco-centric intranet
877,BMW,2775.05,Enterprise-wide zero tolerance process improvement
878,Infiniti,3780.77,Operative homogeneous hardware
879,GMC,3694.79,Diverse 3rd generation artificial intelligence
880,Ford,7322.86,Object-based asynchronous portal
881,Acura,7763.66,Versatile web-enabled model
882,Ford,3397.63,Team-oriented didactic product
883,Dodge,1249.79,Managed user-facing array
884,Aston Martin,4417.99,Implemented coherent implementation
885,Lincoln,2236.62,Up-sized global concept
886,Pontiac,5677.61,Team-oriented bifurcated matrix
887,Saab,9060.55,Integrated context-sensitive superstructure
888,Acura,560.43,Reduced mission-critical encryption
889,Volkswagen,7754.27,Future-proofed optimizing migration
890,Toyota,7947.07,Team-oriented demand-driven intranet
891,Lamborghini,1043.44,Face to face discrete orchestration
892,Volkswagen,876.63,Switchable tertiary Graphical User Interface
893,Pontiac,1087.8,Mandatory even-keeled product
894,Mercedes-Benz,9785.99,Future-proofed background firmware
895,Dodge,5117.38,Focused maximized policy
896,Mercury,4538.38,Grass-roots hybrid projection
897,Kia,8749.54,Diverse incremental info-mediaries
898,Saab,5263.26,Persistent radical hub
899,Mitsubishi,3169.56,Synergistic 24/7 standardization
900,Isuzu,768.36,Future-proofed optimizing adapter
901,Chevrolet,4511.64,De-engineered national success
902,Hyundai,6307.77,Pre-emptive system-worthy core
903,Aston Martin,1183.12,Synergistic local infrastructure
904,Ford,3597.86,Up-sized maximized moderator
905,Lincoln,7104.73,Balanced cohesive function
906,Mazda,8588.87,Open-architected explicit Graphical User Interface
907,Jaguar,599.23,Right-sized zero tolerance groupware
908,Infiniti,7230.12,Multi-tiered full-range installation
909,Mercury,8732.46,Focused asymmetric emulation
910,Hyundai,9724.69,Profound static emulation
911,Toyota,9025.06,Horizontal radical algorithm
912,Mercedes-Benz,6004.57,Ameliorated well-modulated flexibility
913,Honda,183.08,Object-based composite definition
914,Cadillac,9113.89,Total bi-directional benchmark
915,Plymouth,7169.56,Proactive dedicated monitoring
916,Hyundai,679.31,Mandatory asymmetric ability
917,Mazda,2115.97,Fully-configurable systematic matrix
918,Honda,8953.0,Progressive static solution
919,Volvo,872.07,Cross-group object-oriented capacity
920,Toyota,1696.88,Innovative maximized frame
921,Chevrolet,7414.8,Customer-focused directional functionalities
922,Saab,763.7,Focused local ability
923,Suzuki,9083.54,Seamless client-server application
924,Oldsmobile,6368.81,Horizontal explicit groupware
925,Audi,5530.12,Optimized tangible framework
926,Kia,7469.99,Streamlined attitude-oriented encryption
927,Subaru,282.03,Networked heuristic superstructure
928,Dodge,6790.21,Managed mobile synergy
929,Infiniti,1552.41,Integrated composite task-force
930,GMC,4334.52,Networked eco-centric capability
931,Ford,5633.25,Networked radical collaboration
932,BMW,9573.47,Diverse full-range utilisation
933,Hyundai,5841.93,Streamlined multi-tasking complexity
934,Suzuki,3713.43,Networked next generation extranet
935,Toyota,8861.8,Customizable modular productivity
936,Chevrolet,541.3,Intuitive fault-tolerant collaboration
937,Land Rover,3549.56,Reverse-engineered global knowledge base
938,GMC,4075.13,Monitored disintermediate benchmark
939,Toyota,2208.32,Implemented global pricing structure
940,Toyota,7238.72,Focused tangible functionalities
941,Mazda,1429.32,Function-based client-driven knowledge base
942,Jeep,6825.32,Team-oriented radical knowledge user
943,Chrysler,3845.53,Re-contextualized regional installation
944,Plymouth,6137.81,Visionary secondary time-frame
945,Chevrolet,4932.62,Versatile object-oriented methodology
946,Mercury,2705.11,Organized well-modulated attitude
947,Dodge,9146.89,Versatile content-based process improvement
948,Oldsmobile,6377.92,Synchronised value-added capability
949,Land Rover,1762.15,Managed directional knowledge user
950,Toyota,8686.72,Quality-focused directional architecture
951,Volkswagen,580.83,Reverse-engineered human-resource methodology
952,Mercedes-Benz,8302.53,Expanded human-resource data-warehouse
953,Dodge,2414.66,Switchable neutral protocol
954,Chevrolet,1033.92,Upgradable bi-directional emulation
955,Acura,6515.99,Pre-emptive discrete strategy
956,Mazda,668.22,Fully-configurable dynamic budgetary management
957,Ford,6761.73,Inverse empowering product
958,Dodge,7439.59,Devolved 4th generation array
959,Audi,685.51,Organic grid-enabled productivity
960,Ram,2205.7,Robust even-keeled function
961,Chevrolet,6613.97,Programmable foreground framework
962,Chevrolet,9051.91,Organized encompassing knowledge user
963,BMW,2177.24,Fundamental heuristic model
964,Subaru,661.84,Phased background collaboration
965,Buick,2049.97,Sharable encompassing solution
966,Lamborghini,5195.84,Expanded exuding access
967,Chrysler,4494.77,Decentralized well-modulated intranet
968,Maybach,2948.23,Object-based bandwidth-monitored customer loyalty
969,Nissan,1388.29,Synergistic coherent migration
970,Scion,9140.9,Customizable local structure
971,Acura,2135.06,De-engineered interactive algorithm
972,Pontiac,6760.02,Automated 24/7 Graphic Interface
973,Toyota,7582.17,Team-oriented context-sensitive analyzer
974,Mercedes-Benz,311.74,Secured grid-enabled challenge
975,Toyota,4361.19,Synergistic bifurcated attitude
976,Mitsubishi,9141.99,Right-sized 24/7 software
977,Oldsmobile,1306.52,Optimized fault-tolerant system engine
978,Land Rover,4251.99,Expanded bifurcated encryption
979,Audi,461.5,Optimized zero administration function
980,Porsche,9295.9,Customer-focused systematic Graphical User Interface
981,Oldsmobile,821.3,Object-based even-keeled database
982,Nissan,664.3,Phased regional database
983,Mazda,5548.39,Innovative regional projection
984,Ford,5635.39,Grass-roots grid-enabled capability
985,Mazda,4966.07,Self-enabling modular service-desk
986,Dodge,3754.85,Quality-focused 4th generation parallelism
987,Scion,2580.91,User-centric bi-directional leverage
988,Nissan,245.06,Diverse clear-thinking secured line
989,Chrysler,5532.17,Decentralized explicit intranet
990,Acura,8251.09,Managed well-modulated local area network
991,Mazda,2052.03,Pre-emptive fresh-thinking process improvement
992,BMW,9968.78,Reduced scalable synergy
993,Chevrolet,1191.9,Universal multimedia contingency
994,Jaguar,9598.8,Compatible reciprocal groupware
995,Volvo,8199.86,Object-based global conglomeration
996,Mercury,3180.53,Persevering multi-state hardware
997,Subaru,8860.9,Cross-platform homogeneous utilisation
998,Volvo,3708.05,Re-engineered encompassing task-force
999,Mitsubishi,1421.13,Intuitive methodical extranet
1000,Porsche,4496.44,Customer-focused content-based help-desk
